 Verbrauch
 Zeit, Wh 
  01/02/2024 00:00 , 55.36 
  02/02/2024 00:00 , 92.13 
  03/02/2024 00:00 , 120.54 
  04/02/2024 00:00 , 102.59 
  05/02/2024 00:00 , 80.36 
  06/02/2024 00:00 , 111.36 
  07/02/2024 00:00 , 110.07 
  08/02/2024 00:00 , 116.5 
  09/02/2024 00:00 , 125.26 
  10/02/2024 00:00 , 139.25 
  11/02/2024 00:00 , 86.73 
  12/02/2024 00:00 , 123.93 
  13/02/2024 00:00 , 107.11 
  14/02/2024 00:00 , 149.11 
  15/02/2024 00:00 , 120.58 
  16/02/2024 00:00 , 78.13 
  17/02/2024 00:00 , 103.75 
  18/02/2024 00:00 , 146.68 
  19/02/2024 00:00 , 110.85 
  20/02/2024 00:00 , 157.12 
  21/02/2024 00:00 , 139.21 
  22/02/2024 00:00 , 128.98 
  23/02/2024 00:00 , 91.67 
  24/02/2024 00:00 , 157.58 
  25/02/2024 00:00 , 90.8 
  26/02/2024 00:00 , 187.87 
  27/02/2024 00:00 , 187.13 
  28/02/2024 00:00 , 58.45 
  29/02/2024 00:00 , 148.41
